,Tweets
96,"ریڈ لائن سیاستدان نہیں صرف پاکستان۔۔۔ عمران خان کا بیانیہ ملکی سلامتی کیلئے خطرہ بن رہا ہے؟ دیکھئے

مکمل پروگرام دیکھئے: https://youtube.com/watch?v=gKpldQ4KOJk…"
97,"زنگاڑہ،خدرخیل مارکیٹ، جنوبی وزیرستان میں مبینہ ڈرون حملے میں معصوم بچوں کی شہادت کی اطلاعات انتہائی تشویشناک ہیں. جبکہ پوری قوم کی توجہ زمان پارک میں ریاستی حملے پر مرکوز تھیں تو ایسے میں ڈرون حملے سے لگتا ہے امپورٹڈ حکومت نے امریکی غلامی دوبارہ اختیار کرلی.

جواب دو امپورٹڈ"
98,یہی تو صحافی ہیں ، باقی آپ خود کو دیکھ لیں ...
99,پاکستان کے علاوہ دنیا کے کسی ایک ملک کا نام بتا دیں جہاں کے جرنیلوں کو پانچ پلاٹ، دو فلیٹ، ایک ولا بشمول کمرشل پلاٹ ملتا ہو؟
100,اس ویب سائٹ کی خبر کا اینگل دیکھیں زرا۔۔ اور ان بزرگوں کے سر پر پی ڈی ایم سوشل میڈیا وار جیتنا چاہتی ہے۔ 
101,پروفیسر صاحب کی تاریخ معلوم کیجیئے آپکو مزید مایوسی ہوگی۔
102,Police destroyed the drawings & frames of Imran Khan's kids.
103,"کارکنان نے پولیس پر آنسو گیس شیلنگ کی۔ عطا تارڈ 

کارکنان کیساتھ شیل کہاں سے آۓ؟"
104,تاریخ میں یہ بھی لکھا جائے گا کہ عمران خان دنیا کے وہ واحد سیاستدان تھے جن پر گیارہ مہینوں میں 80 سے زائد جعلی مقدمات درج ہوئے، ان پر قاتلانہ حملہ ہوا، ان کا مقدمہ درج نہ ہوسکا، ان پر حملہ کرنے والے کو ویڈیو لنک کے ذریعے پیشی کی سہولت دی گئی لیکن انھیں نہیں دی جارہی، وغیرہ
105,"عمر گزرنے کے ساتھ یقیناً یادداشت مسائل سے دو چار ہوتی ہے شاید یہی وجہ ہے ہے آج PDM زعما بشمول خود نواز شریف فضل الرحمن وغیرہ بھول گئے الیکشن کسی قیمت ملتوی نہیں ہوسکتے آپ بھول گئے گو ہم یاد دلا تے ہیں ویسے میاں صاحب ""ووٹ کو عزت دو"" نعرہ نہ بھولئیے گا مہنگا پڑے گا"
